restaurant_id,name,link,city,area,cuisine,rating,votes,has_online_delivery,has_table_booking,price
23756,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23756,mumbai,"Kadamba Kudpi House,V.P Road","Burgers, Beverages, Cafe, Desserts",4.5,49K+,1,0,₹400 for two
656188,Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=656188,mumbai,Bandra west,"Burgers, American",4.1,4.9K+,1,0,₹350 for two
24525,Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=24525,mumbai,Khar West,"Pizzas, Italian, Pastas, Desserts",4.2,17K+,1,0,₹400 for two
436640,Guru Kripa Pani Puri Bandra,https://www.swiggy.com/dapi/menu/pl?restaurantId=436640,mumbai,Bandra West,"Snacks, Indian, Sweets, Chaat",4.5,8.4K+,1,0,₹100 for two
650940,Mer Konfekt,https://www.swiggy.com/dapi/menu/pl?restaurantId=650940,mumbai,Bandra West,Bakery,4.8,817,1,0,₹300 for two
793516,Breadsmith by Food Square,https://www.swiggy.com/dapi/menu/pl?restaurantId=793516,mumbai,Bandra West,"Bakery, Mexican, Desserts, Coffee, Juices",4.6,451,1,0,₹600 for two
643144,Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=643144,mumbai,Mahim West,Pizzas,4.2,1.9K+,1,0,₹350 for two
23756,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23756,mumbai,"Kadamba Kudpi House,V.P Road","Burgers, Beverages, Cafe, Desserts",4.5,49K+,1,0,₹400 for two
656188,Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=656188,mumbai,Bandra west,"Burgers, American",4.1,4.9K+,1,0,₹350 for two
24525,Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=24525,mumbai,Khar West,"Pizzas, Italian, Pastas, Desserts",4.2,17K+,1,0,₹400 for two
650940,Mer Konfekt,https://www.swiggy.com/dapi/menu/pl?restaurantId=650940,mumbai,Bandra West,Bakery,4.8,817,1,0,₹300 for two
204959,Royce' Chocolate,https://www.swiggy.com/dapi/menu/pl?restaurantId=204959,mumbai,Bandra West,Desserts,4.9,1.4K+,1,0,₹750 for two
844425,Mag St. Bread Co,https://www.swiggy.com/dapi/menu/pl?restaurantId=844425,mumbai,Bandra West,"Bakery, Desserts",4.6,420,1,0,₹800 for two
489610,Blue Tokai Coffee Roasters,https://www.swiggy.com/dapi/menu/pl?restaurantId=489610,mumbai,Khar West,"Cafe, Coffee, Beverages",4.7,3.1K+,1,0,₹600 for two
378292,Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=378292,mumbai,Pali Hill,"Bakery, Desserts",4.7,11K+,1,0,₹400 for two
133422,Maiz Mexican Kitchen,https://www.swiggy.com/dapi/menu/pl?restaurantId=133422,mumbai,Khar,Mexican,4.7,7.8K+,1,0,₹600 for two
340371,1441 Pizzeria,https://www.swiggy.com/dapi/menu/pl?restaurantId=340371,mumbai,Pali Hill,"Italian, Pizzas, Pastas",4.3,3.2K+,1,0,₹500 for two
746101,Bombay Sweet Shop,https://www.swiggy.com/dapi/menu/pl?restaurantId=746101,mumbai,Darvesh Royale,"Sweets, Desserts, Snacks",4.7,2.3K+,1,0,₹700 for two
337609,Nino Burgers,https://www.swiggy.com/dapi/menu/pl?restaurantId=337609,mumbai,Bandra West,"Burgers, Fast Food, American",4.3,4.6K+,1,0,₹500 for two
9178,Sweet Bengal,https://www.swiggy.com/dapi/menu/pl?restaurantId=9178,mumbai,Bandra West,"Sweets, Indian, Snacks, Desserts",4.8,9.6K+,1,0,₹150 for two
27180,Le 15 Patisserie,https://www.swiggy.com/dapi/menu/pl?restaurantId=27180,mumbai,Bandra West,"Desserts, Bakery, Cakes & Pastries",4.8,7.4K+,1,0,₹700 for two
35349,Bina's Fresh Batch Ice Cream,https://www.swiggy.com/dapi/menu/pl?restaurantId=35349,mumbai,Bandra West,"Desserts, Ice Cream",4.5,574,1,0,₹1000 for two
338324,"Faasos - Wraps, Rolls & Shawarma",https://www.swiggy.com/dapi/menu/pl?restaurantId=338324,mumbai,Patkar Blocks,"Kebabs, Fast Food, Snacks, American, Healthy Food, Desserts, Beverages",4.3,3.4K+,1,0,₹200 for two
170435,Good Flippin' Burgers,https://www.swiggy.com/dapi/menu/pl?restaurantId=170435,mumbai,Bandra West,"Burgers, American, Fast Food, Beverages",4.6,10K+,1,0,₹600 for two
819551,LeanCrust Pizza- ThinCrust Experts,https://www.swiggy.com/dapi/menu/pl?restaurantId=819551,mumbai,Bandra,"Pizzas, Italian, Desserts",4.6,424,1,0,₹300 for two
375589,Gourmet Ice Cream Cakes by Baskin Robbins,https://www.swiggy.com/dapi/menu/pl?restaurantId=375589,mumbai,Mahim Dadar,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",4.8,65,1,0,₹250 for two
643144,Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=643144,mumbai,Mahim West,Pizzas,4.2,1.9K+,1,0,₹350 for two
816077,Cremure,https://www.swiggy.com/dapi/menu/pl?restaurantId=816077,mumbai,Bandra West,"Bakery, Desserts, Waffle, Beverages",4.6,3.5K+,1,0,₹400 for two
23756,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23756,mumbai,"Kadamba Kudpi House,V.P Road","Burgers, Beverages, Cafe, Desserts",4.5,49K+,1,0,₹400 for two
656188,Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=656188,mumbai,Bandra west,"Burgers, American",4.1,4.9K+,1,0,₹350 for two
24525,Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=24525,mumbai,Khar West,"Pizzas, Italian, Pastas, Desserts",4.2,17K+,1,0,₹400 for two
436640,Guru Kripa Pani Puri Bandra,https://www.swiggy.com/dapi/menu/pl?restaurantId=436640,mumbai,Bandra West,"Snacks, Indian, Sweets, Chaat",4.5,8.4K+,1,0,₹100 for two
650940,Mer Konfekt,https://www.swiggy.com/dapi/menu/pl?restaurantId=650940,mumbai,Bandra West,Bakery,4.8,817,1,0,₹300 for two
793516,Breadsmith by Food Square,https://www.swiggy.com/dapi/menu/pl?restaurantId=793516,mumbai,Bandra West,"Bakery, Mexican, Desserts, Coffee, Juices",4.6,451,1,0,₹600 for two
39676,Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=39676,mumbai,Powai,Pastas,4.2,18K+,1,0,₹400 for two
668678,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=668678,mumbai,Saki Vihar Powai,"Burgers, Beverages, Cafe, Desserts",4.5,6.6K+,1,0,₹400 for two
7012,KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=7012,mumbai,Powai,"Burgers, Fast Food, Rolls & Wraps",4.3,35K+,1,0,₹400 for two
794904,Bina's Fresh Batch Ice Cream,https://www.swiggy.com/dapi/menu/pl?restaurantId=794904,mumbai,Powai,"Ice Cream, Desserts",4.6,202,1,0,₹800 for two
