has_online_delivery,Desserts,Beverages,Snacks,Fast Food,Bakery,Burgers,Ice Cream,Pizzas,Chinese,North Indian,cuisine_count,votes_log,city_tier_1,city_tier_2,price_bucket_High,price_bucket_Low,price_bucket_Luxury,price_bucket_Medium,restaurant_density_High,restaurant_density_Low,restaurant_density_Medium,rating
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.9324332356952423,-0.2896813027803648,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.4
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.068917793932485,-0.18277286902510956,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.068917793932485,0.3945154205457697,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.6
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43175772088137865,-0.5519946626504124,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.7
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068917793932485,-0.7129751763994276,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.5
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.570944338374076,1.5423359871135018,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.2
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9324332356952423,-0.352425464870366,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068917793932485,-0.5519946626504124,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.5
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068917793932485,0.8746073618527217,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.3
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43175772088137865,-0.09376633249647051,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.2
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43175772088137865,-1.1318030168038036,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0729708828156665,0.2652468130577722,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0702688235602122,-1.110676456762222,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.3
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.9324332356952423,-0.2896813027803648,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.6
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0729708828156665,-0.3868038346788303,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43175772088137865,-2.3325138674107486,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.2
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43175772088137865,0.24392728447557765,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.9
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43175772088137865,-0.8791291804401806,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0729708828156665,0.6241042498897668,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9324332356952423,-0.6038148898268237,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.5
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0729708828156665,-0.09376633249647051,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.6
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43175772088137865,-0.6861587459445668,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.433108750509106,1.0443416798627745,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.3
